,SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,DAYS OFFLINE,DAYS SINCE VISIT,CATEGORY
12612,21111069,5.57,1.0,98.0,98.0,4.51,60.0,320.0,Technical
12613,21050822,6.84,1.0,9.0,9.0,0.1,70.0,41.0,Technical
12614,21110979,3.1,1.0,5.0,5.0,1.62,37.0,3.0,Technical
12615,21111023,0.74,1.0,412.0,412.0,0.58,37.0,3.0,Technical
12616,21050719,5.78,1.0,956.0,956.0,5.14,124.0,5.0,Technical
12617,21050716,1.19,1.0,792.0,794.0,0.81,83.0,83.0,Nontechnical
12618,21111016,3.35,1.0,93.0,95.0,3.17,68.0,240.0,Technical
12619,21110979,2.96,1.0,155.0,155.0,0.19,51.0,11.0,Technical
12620,19060563,4.46,1.0,989.0,989.0,9.16,220.0,4.0,Technical
12621,21050719,6.5,1.0,980.0,982.0,5.27,124.0,5.0,Technical
12622,17020142,9.59,1.0,0.0,0.0,0.0,177.0,524.0,Nontechnical
12623,19060447,1.65,1.0,428.0,426.0,0.78,50.0,9.0,Nontechnical
12624,17020141,0.33,1.0,42.0,42.0,0.23,167.0,55.0,Nontechnical
12625,18040304,9.88,1.0,6263.0,6477.0,7.48,46.0,46.0,Nontechnical
12626,19060334,5.19,1.0,47.0,470.0,0.88,59.0,24.0,Nontechnical
12627,18040174,9.95,1.0,1.0,3.0,0.09,177.0,524.0,Nontechnical
12628,18040296,9.94,1.0,552.0,570.0,1.37,118.0,328.0,Nontechnical
12629,21050716,3.6,1.0,524.0,524.0,1.91,83.0,83.0,Nontechnical
12630,19060324,9.96,1.0,996.0,995.0,8.0,43.0,76.0,Nontechnical
12631,21111023,2.82,1.0,3609.0,3608.0,1.7,37.0,3.0,Technical
12632,19060450,1.0,1.0,504.0,549.0,0.58,263.0,577.0,Nontechnical
12633,19060571,4.42,1.0,8.0,8.0,4.97,298.0,75.0,Nontechnical
12634,19060324,9.53,1.0,1891.0,1892.0,2.34,43.0,76.0,Nontechnical
12635,19060439,8.39,1.0,0.0,0.0,0.01,43.0,44.0,Nontechnical
12636,21050678,2.1,1.0,34.0,5.0,0.21,83.0,83.0,Nontechnical
12637,18040215,9.97,1.0,374.0,374.0,0.48,154.0,74.0,Nontechnical
12638,21050601,4.1,1.0,928.0,929.0,2.18,60.0,61.0,Technical
12639,19060334,5.14,1.0,11.0,11.0,0.01,59.0,24.0,Nontechnical
12640,21050831,2.17,1.0,45.0,45.0,0.41,70.0,41.0,Technical
12641,19060357,9.95,1.0,2.0,2.0,0.18,107.0,49.0,Technical
12642,21050822,6.06,1.0,963.0,964.0,5.53,70.0,41.0,Technical
12643,18040177,1.01,1.0,3.0,36.0,0.04,60.0,320.0,Technical
12644,21050625,9.93,1.0,0.0,0.0,0.0,32.0,33.0,Technical
12645,21110893,9.91,1.0,925.0,925.0,3.32,65.0,65.0,Technical
12646,18040291,9.97,1.0,932.0,932.0,6.13,158.0,206.0,Technical
12647,18040233,0.85,1.0,74.0,74.0,0.38,91.0,95.0,Nontechnical
12648,21050576,5.6,1.0,875.0,875.0,4.06,270.0,511.0,Technical
12649,19060554,8.43,1.0,987.0,987.0,7.61,220.0,4.0,Technical
